ARCCode,CreditType
CLP100,TR
HPE256,TR
ACC211,TR
THR120,TR
ECN202,TR
ECN201,TR
ENG101,TR
ENG102,TR
ENG305,TR
HST201,TR
GEP2,TR
MTH115,TR
MTH120,TR
HPE255,TR
ELE00,TR
GEP3,TR
POL101,TR
PSY100,TR
SPN101,TR
SPN102,TR
DES381,TR
DES382,TR
DAN214,TR
EN101,TR
GEP1F,TR
SOC100,TR
BIO105,TR
BIO211,TR
BIO150,TR
PSY204,TR
ENV101,TR
CSC101,TR
CSC235,TR
PHI200,TR
REL100,TR
EDU305,TR
ART311,TR
SED300,TR
FIN200,TR
ELEC,TR
BAD206,TR
BAD330,TR
PHI210,TR
BAD340,TR
PSY360,TR
PSY380,TR
MTH110,TR
ART100,TR
REL103,TR
REL205,TR
CSC100,TR
PSY233,TR
EDU610,TR
EDU611,TR
EDU600,TR
HST110,TR
MTH101,TR
MTH423,TR
MEN150,TR
PSY231,TR
ACC409,TR
BIO191,TR
BIO190,TR
GEP1J,TR
BAD300,TR
ECN300,TR
GEP1G,TR
EDU360,TR
EDU203,TR
GEP1E,TR
HST202,TR
HST100,TR
DES282,TR
HPE153,TR
MTH113,TR
MTH210,TR
MTH108,TR
BIO100,TR
CHM150,TR
HPE180,TR
HPE195,TR
MUH110,TR
HPE152,TR
HPE126,TR
HPE154,TR
TRAN000,TR
BIO350,TR
SED395,TR
SED390,TR
ART111,TR
ART113,TR
BAD351,TR
SPN201,EX
FRN102,EX
MTHTRANF,TR
SPN201,TR
SPN102,EX
ACC212,TR
DAN110,TR
ECN150,TR
EL110,TR
SOC306,TR
MUT102,TR
MUA102,TR
MUH100,TR
MTY151,TR
MTY250,TR
MTY381,TR
GEP1O,TR
ENG291,TR
GEP1N,TR
EDU621,TR
BIO110,TR
ART126,TR
BIO202,TR
BIO203,TR
CHM190,TR
GEP3A,TR
ART201,TR
ART305,TR
DES286,TR
ART112,TR
GE211,TR
ART309,TR
ART213,TR
PHI315,TR
CHM201,TR
SOC270,TR
SOC260,TR
SOC0101,TR
TRANS001,TR
POL303,TR
WST200,TR
MTH105,TR
PSY480,TR
POL405,TR
GEP3C,TR
GEP3E,TR
THR100,TR
VLN101,TR
MUA101,TR
MUA103,TR
VLN103,TR
MUH125,TR
MEN130,TR
MUT101,TR
MUT111,TR
MUT103,TR
MUT113,TR
GEP3B,TR
REL101,TR
GEP3N,TR
ENG150,TR
FRN101,TR
FRN102,TR
MEN120,TR
MEN110,TR
FLT111,TR
REL104,TR
MUT441,TR
AST100,TR
CSC208,TR
THR110,TR
THR115,TR
THR215,TR
THR205,TR
THR204,TR
ENG201,TR
SPN202,TR
PHY143,TR
BIO205,TR
ENG203,TR
ENG204,TR
PHI180,TR
PS101,TR
REL206,TR
BIO312,TR
CSC201,TR
ENG202,TR
EN204,TR
BAD348,TR
HRP101,TR
HRP103,TR
HRP201,TR
MTY152,TR
FRN201,TR
MUT201,TR
MUT203,TR
MUE351,TR
MUH101,TR
MUE221,TR
PNO111,TR
MUE341,TR
PSY101,TR
VOI101,TR
MEN190,TR
HPE155,TR
HPE151,TR
ART130,TR
THR125,TR
MTH220,TR
PHY241,TR
ENG292,TR
ENG391,TR
ENV102,TR
GEP1,TR
BAD352,TR
ECN191,TR
PHI100,TR
PHI305,TR
BAD191,TR
DAN114,TR
ART170,TR
CHM303,TR
MTH351,TR
MTH413,TR
HPE140,TR
BI169,TR
PLP875,TR
PLP870,TR
PLP855,TR
PLP845,TR
PLP850,TR
PLP885,TR
GER101,TR
GER102,TR
BAD345,TR
MUH103,TR
MUA201,TR
MUT301,TR
PSY102,TR
REL201,TR
ART202,TR
ATH330,TR
GEP2P,TR
SED385,TR
MUT100,TR
MEN160,TR
MUA401,TR
MUA403,TR
MUA203,TR
VOI220,TR
MUS110,TR
HPE150,TR
ART270,TR
BIO112,TR
BIO301,TR
BIO485,TR
BIO411,TR
ENG309,TR
NSC001,TR
GEP1M,TR
MUH210,TR
MUA111,TR
VOI101A,TR
VOI103,TR
FLT201A,TR
FLT203A,TR
ENG340,TR
HST470,TR
HPE355,TR
HPE132,TR
PHY140,TR
GEP1Q,TR
ENG290,TR
ELE01,TR
ENG220,TR
POL102,TR
CHM202,TR
CHM410,TR
HST599,TR
HCA350,TR
ITL101,TR
ITL102,TR
PHY101,TR
BIO302,TR
CHM100,TR
PSY236,TR
EDU309,TR
HPE197,TR
HPE160,TR
EDU620,TR
ART150,TR
EDU105,TR
BSN00,TR
PSY201,TR
MUH332,TR
THR201,TR
THR221,TR
THR203,TR
GEP1P,TR
PHY242,TR
ATM100,TR
ATM265,TR
ART360,TR
SED597,TR
ENG303,TR
HST491,TR
MUA221,TR
MUH460,TR
MUT211,TR
MUT213,TR
VLN201,TR
VOI201A,TR
HPE100,TR
PHI205,TR
DAN111,TR
GEP1H,TR
GEP1I,TR
ART120,TR
ART124,TR
ENV150,TR
BIO270,TR
ART101,TR
GEP1K,TR
HIS202,TR
PRC111,TR
BIO 112,TR
EGR101,TR
JPN101,TR
GEP2A,TR
GEP1A,TR
PHI201,TR
PSY211,TR
CSC290,TR
MUH111,TR
SOC101,TR
ACC101,TR
HPE100,EX
ELE00,EX
CSC101,EX
DAN114,EX
DAN213,EX
ENG101,EX
HPE130,EX
SPN101,EX
FOLA101,EX
FOLA102,EX
FOLA201,EX
FRN101,EX
GER101,EX
GER102,EX
ITL101,EX
ITL102,EX
LAT101,EX
LAT102,EX
HPE256,EX
FOLA100,EX
HPE124,EX
MUT103,EX
FRN201,EX
GER201,EX
ITL201,EX
LAT201,EX
SPN202,EX
HPE001,EX
FORLA001,EX
MUH203,EX
MUT101,EX
MUT111,EX
MUT113,EX
MUT211,EX
MUT213,EX
MUA101,EX
MUA102,EX
MUA103,EX
MUA201,EX
MUA202,EX
MUA203,EX
HPE132,EX
HPE160,EX
FORLN000,EX
HPE140,EX
HPE134,EX
FRLG001,EX
FORL001,EX
GER00,EX
JPN101,EX
LAT00,EX
SPN00,EX
FORLG001,EX
FR101,EX
FR102,EX
FREN101,EX
FRN001,EX
GER001,EX
HPE001,TR
HPE00,EX
HPE1,TR
HPE153,EX
LAT001,EX
MATH,EX
MATH001,EX
MTH001,EX
MTH00,EX
PHE001,EX
SED385,EX
HPE155,EX
SPA101,EX
SPA102,EX
SPA201,EX
SPN001,EX
SPN001,TR
SPN00,TR
SPAN101,EX
BAD332,TR
ENG206,TR
GEP3X,TR
SPA101,TR
SCIE101,TR
HIST202,TR
BIO305,TR
OBO101A,TR
OBO103A,TR
OBO201A,TR
OBO203A,TR
ENG393,TR
ENG392,TR
REL261,TR
SPN302,TR
SPN303,TR
SPN300,TR
SPN400,TR
SPN210,TR
SOC310,TR
BAD442,TR
BAD353,TR
BAD450,TR
ACC462,TR
ECN324,TR
ACC451,TR
HPE130,TR
HPE134,TR
ELC381,TR
CHM403,TR
EDU591,TR
GER201,TR
TRAN001,TR
VLC101,TR
VLC102,TR
CSC280H,TR
MTH112,TR
HPE120,TR
PNO113,TR
CHM203,TR
PLP805,TR
PLP860,TR
ACC201,TR
ACC202,TR
ART00,TR
ART290,TR
ART340,TR
DES324,TR
ART285,TR
ART140,TR
DES124,TR
ART125,TR
ART224,TR
ART240,TR
CSC355,TR
GEP1W,TR
CHM204,TR
CSC110,TR
ENG370,TR
GEO300,TR
HST306,TR
IDC150,TR
PSY150,TR
PSY350,TR
MA202,TR
PHY221,TR
PSY374,TR
PSY280,TR
SOC132,TR
SPA102,TR
SPA201,TR
THR102,TR
ARB101,TR
CHM310,TR
SED391,TR
MUS130,TR
THE1000,TR
EDU303,TR
ECN304,TR
FIN370,TR
PHI340,TR
ECN301,TR
SOC001,TR
ART315,TR
ECN101,TR
EN102,TR
HST421,TR
HST315,TR
SED392,TR
HPE254,TR
MATH113,TR
PSY232,TR
BAD349,TR
CHM105,TR
FIN373,TR
ART313,TR
EDU405,TR
SED505,TR
EDU555,TR
EDU574,TR
SED500,TR
BAD347,TR
BAD344,TR
MTH410,TR
MFS637,TR
ART230,TR
BIO210,TR
PSY332,TR
MEN170,TR
MUH453,TR
MUE213,TR
PNO101D,TR
PNO103D,TR
REL200,TR
DES101,TR
MTH11,TR
POL00,TR
REL305,TR
BIOL205,TR
BIOL210,TR
ENG200,TR
DAN190,TR
CHM101,TR
CHM112,TR
BIO000,TR
ENG2040,TR
PHY251,TR
ENGL102,TR
BAD260,TR
BAD401,TR
CHM160,TR
BIO106,TR
BA330,TR
VOI121,TR
VOI123,TR
FLT101A,TR
ECN302,TR
ECN325,TR
ECN327,TR
EDU525A,TR
ELE02,TR
MATH115,TR
VOI103A,TR
PSY310,TR
SPAN202,TR
GEP1B,TR
BUS150,TR
ENG320,TR
SED405,TR
JPN102,TR
JPN201,TR
JPN202,TR
CHM304,TR
HPE124,TR
ENG0101,TR
ECN210,TR
HST00,TR
HIS106,TR
HIS108,TR
MATH221,TR
MATH108,TR
PHY201,TR
PHY202,TR
PSY212,TR
PSY111,TR
GLG100,TR
HST345,TR
HPE224,TR
PLP760,TR
HST001,TR
MTH001,TR
PSY214,TR
ART241,TR
POL335,TR
BIO191L,TR
MTH107,TR
CSC125,TR
POL201,TR
PSY208,TR
BIO304,TR
FOLA201,TR
SED265,TR
MUE333,TR
MUE323,TR
EDU403,TR
BAD203,TR
ACC102,TR
DES100,TR
ASL101,TR
ASL102,TR
ASL201,TR
SED385,UG
FRLGN001,TR
SED380,TR
BAD200,TR
BIO107,TR
BIO180,TR
BIO181,TR
BIO115,TR
BIO175,TR
BIO101,TR
CS101,TR
CSC209,TR
CSC410,TR
HPE393,TR
ECN211,TR
ENG0102,TR
ENG205,TR
HST102,TR
GEP1E,UG
MAT101,TR
MAT108,TR
MTH311,TR
MAT110,TR
MATH110,TR
ACC191,TR
MUH110,UG
MUS105,TR
PHI110,TR
GEP1L,TR
PSY210,TR
PSY100,UG
SOC00,TR
SOC0101,UG
FLG001,TR
FORLA002,TR
THE1150,TR
BIOL101,TR
BIO102,TR
CRW200,TR
CRW201,TR
HIST201,TR
HST101,TR
HLTH140,TR
ENG350,TR
MATH1113,TR
MTH00,TR
PSY213,TR
PSY00,TR
REL313,TR
REL215,TR
SPAN201,TR
EDU302,TR
DES483,TR
BIO190L,TR
CHM190L,TR
GEP3C,UG
BIO100,UG
BIO210,UG
ACC211,UG
ACC212,UG
CHM201,UG
CHM201L,UG
CHM303,UG
CHM303L,UG
ENG101,UG
ENG370,UG
ENG102,UG
WST200,UG
POL102,UG
POL101,UG
GEP3B,UG
MTH113,UG
MTH210,UG
MTH220,UG
MEN150,UG
MEN160,UG
HPE150,UG
HPE126,UG
PSY380,UG
PSY311,UG
PSY231,UG
REL104,UG
SPN101,UG
SPN201,UG
SPN202,UG
SPN102,UG
THR100,UG
THR201,UG
THR221,UG
THR204,UG
PHY199H,TR
HIS201,TR
ART0101,TR
HPE00,TR
GEP1W,EX
POL100,TR
DES284,TR
DES285,TR
DES289,TR
DES384,TR
DES288,TR
PHY241L,TR
PHY242L,TR
MIL302,TR
ECO202,TR
HST319,TR
MTH480,TR
SED353,TR
SED350,TR
VLN103A,TR
HST259,TR
VLC103A,TR
ART300,TR
CHM102,TR
CHM402,TR
CSC203,TR
EDU361,TR
EDU300,TR
EDU409,TR
LAT101,TR
LAT102,TR
ART200,TR
SOC309,TR
ACC351,TR
ENG397,TR
PHI401,TR
REL306,TR
EDU604,TR
EDU378,TR
PSY580,TR
EDU612,TR
EDU613,TR
EDU614,TR
EDU522,TR
EDU516,TR
FREN102,TR
FREN201,TR
HST352,TR
SOC111,TR
ENG1102,TR
BIO 112,UG
BIO211L,TR
BIO205L,TR
BIO211,UG
ENG100,UG
GEP2,UG
THR120,UG
SANTW102,TR
BIO104,TR
BIO140,TR
CHM251,TR
CSC202,TR
ENGLU101,TR
ENG300,TR
FRN202,TR
HST318,TR
HST188,TR
MTH205,TR
BAD443,TR
MUH113,TR
BIO201,TR
CHN101W,TR
CHN102W,TR
CSC126,TR
MTH106,TR
SOC302,TR
SPA202,TR
PHS100,TR
MTH103,TR
HPE156,TR
ENG380,TR
PHI125,TR
SPN304,TR
EDU592,TR
MUA113,TR
MUA211,TR
ACC452,TR
ENG100,TR
IDC151,TR